,Sales_Nov,Sales_Dec,Sales_Jan0114,count_Nov,count_Dec,count_Jan0114,Value per order Nov,Value per order Dec,Value per order Jan0114
A,12482.29,41282.02000000004,3429.51,49.0,232.0,31.0,254.740612244898,177.93974137931053,110.62935483870969
B,0.1,677.29,,1.0,14.0,,0.1,48.37785714285714,
C,22540.900000000012,15024.49999999997,2239.79,323.0,350.0,40.0,69.78606811145515,42.927142857142776,55.994749999999996
D,24434.730000000018,21060.89000000003,3411.949999999998,445.0,318.0,90.0,54.909505617977565,66.22921383647808,37.91055555555553
F,83.22999999999999,2893.639999999999,,3.0,53.0,,27.74333333333333,54.59698113207545,
G,203197.67000000022,127062.45999999988,15080.899999999994,692.0,387.0,54.0,293.638251445087,328.3267700258395,279.27592592592583
H,4553.29,3285.4799999999987,827.86,147.0,103.0,32.0,30.974761904761905,31.89786407766989,25.870625
I,20237.729999999967,27092.049999999996,9181.339999999993,322.0,420.0,142.0,62.85009316770176,64.50488095238094,64.65732394366192
J,284197.4600000005,178109.47999999998,122753.76000000007,820.0,555.0,367.0,346.5822682926835,320.91798198198194,334.47891008174406
K,62941.280000000035,66136.15,47343.66999999999,105.0,106.0,66.0,599.4407619047622,623.9259433962263,717.3283333333331
L,268896.840000002,311052.0000000025,145426.55000000034,7315.0,8810.0,4314.0,36.75965003417662,35.306696935301076,33.71037320352349
E,,509.33000000000004,950.0800000000002,,16.0,14.0,,31.833125000000003,67.86285714285715
M,,4158.560000000005,1642.9199999999998,,117.0,66.0,,35.543247863247906,24.89272727272727
Total,903565.5200000028,798343.8500000023,352288.33000000037,10222.0,11481.0,5216.0,1777.525306056837,1862.3274465805116,1752.611736298038
